flight_id,date_key,airline_key,origin_key,dest_key,op_carrier_fl_num,crs_dep_time,dep_time,dep_delay,crs_arr_time,arr_time,arr_delay,taxi_out,taxi_in,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,cancelled,diverted,cancellation_code
8226,20240308,5,155,254,1639.0,730,728.0,-2.0,1046,1034.0,-12.0,19.0,4.0,196.0,186.0,163.0,1074.0,0,0,0,0,0,0,0,
8227,20241114,5,165,205,2198.0,1600,1553.0,-7.0,2139,2057.0,-42.0,12.0,5.0,219.0,184.0,167.0,1535.0,0,0,0,0,0,0,0,
8228,20240229,12,243,225,3190.0,1421,1406.0,-15.0,1745,1742.0,-3.0,34.0,5.0,144.0,156.0,117.0,893.0,0,0,0,0,0,0,0,
8229,20241010,15,79,214,5608.0,837,829.0,-8.0,1047,1027.0,-20.0,27.0,12.0,190.0,178.0,139.0,1012.0,0,0,0,0,0,0,0,
8230,20240812,1,177,174,4960.0,717,707.0,-10.0,1115,1053.0,-22.0,13.0,7.0,178.0,166.0,146.0,1085.0,0,0,0,0,0,0,0,
8231,20240629,14,65,254,440.0,650,644.0,-6.0,915,912.0,-3.0,16.0,5.0,145.0,148.0,127.0,930.0,0,0,0,0,0,0,0,
8232,20240405,14,257,136,3851.0,620,618.0,-2.0,720,710.0,-10.0,14.0,4.0,60.0,52.0,34.0,192.0,0,0,0,0,0,0,0,
8233,20240328,11,54,64,5495.0,635,625.0,-10.0,824,815.0,-9.0,21.0,12.0,109.0,110.0,77.0,394.0,0,0,0,0,0,0,0,
8234,20241211,5,276,143,2514.0,1740,1736.0,-4.0,2137,2114.0,-23.0,13.0,7.0,177.0,158.0,138.0,1195.0,0,0,0,0,0,0,0,
8235,20241120,15,240,216,3678.0,1630,1620.0,-10.0,1842,1831.0,-11.0,11.0,46.0,192.0,191.0,134.0,900.0,0,0,0,0,0,0,0,
8236,20240504,14,163,283,4658.0,720,728.0,8.0,1230,1227.0,-3.0,13.0,6.0,190.0,179.0,160.0,1371.0,0,0,0,0,0,0,0,
8237,20240430,5,165,143,2120.0,1810,1952.0,102.0,2319,57.0,98.0,21.0,6.0,189.0,185.0,158.0,1379.0,98,0,0,0,0,0,0,
8238,20241003,5,165,184,867.0,1045,1043.0,-2.0,1843,1900.0,17.0,28.0,21.0,298.0,317.0,268.0,2218.0,0,0,17,0,0,0,0,
8239,20241211,15,229,244,4531.0,600,559.0,-1.0,731,727.0,-4.0,17.0,9.0,91.0,88.0,62.0,328.0,0,0,0,0,0,0,0,
8240,20240722,14,183,79,4776.0,1205,1211.0,6.0,1530,1551.0,21.0,10.0,34.0,145.0,160.0,116.0,949.0,6,0,15,0,0,0,0,
8241,20240812,2,194,155,2225.0,1730,1858.0,88.0,2034,2200.0,86.0,21.0,5.0,184.0,182.0,156.0,1089.0,0,0,0,0,86,0,0,
8242,20240717,12,145,82,5929.0,1435,1703.0,148.0,1623,1846.0,143.0,12.0,24.0,108.0,103.0,67.0,458.0,0,0,0,0,143,0,0,
8243,20241007,12,90,161,3956.0,1641,1643.0,2.0,1727,1730.0,3.0,22.0,3.0,46.0,47.0,22.0,74.0,0,0,0,0,0,0,0,
8244,20241027,5,205,163,2238.0,1118,1225.0,67.0,1244,1346.0,62.0,13.0,14.0,206.0,201.0,174.0,1299.0,62,0,0,0,0,0,0,
8245,20241028,15,40,265,5615.0,930,920.0,-10.0,1212,1200.0,-12.0,24.0,10.0,162.0,160.0,126.0,829.0,0,0,0,0,0,0,0,
8246,20240718,15,148,174,4351.0,1158,1152.0,-6.0,1359,1346.0,-13.0,11.0,6.0,121.0,114.0,97.0,660.0,0,0,0,0,0,0,0,
8247,20240621,14,31,186,749.0,630,628.0,-2.0,815,806.0,-9.0,10.0,3.0,105.0,98.0,85.0,570.0,0,0,0,0,0,0,0,
